,drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
121,Intercept,RaoQ,0.084989746,0.062554014,-0.10834595,0.239956319,-0.045005371,0.203419916,-0.021835771,0.184207236,0.006346328,0.160655317
122,sppt_Est,RaoQ,-0.029989522,0.018181237,-0.075180013,0.004581786,-0.064623908,0.000939718,-0.059431503,-0.000167986,-0.053504095,-0.003563481
123,stmax_Est,RaoQ,0.005917237,0.011845297,-0.021656623,0.048785812,-0.0119415,0.036117512,-0.008353115,0.02961053,-0.004736584,0.022107206
124,sppt_mm_12moPrior,RaoQ,0.016994737,0.018219918,-0.011787052,0.072583867,-0.006232495,0.058658819,-0.003432675,0.051922047,-0.001145557,0.043726099
125,stmax_C_12moPrior,RaoQ,0.006365695,0.015578073,-0.032375574,0.067725611,-0.01710599,0.048779534,-0.011974298,0.038241545,-0.006859074,0.027058408
126,sstrahler_streamOrder,RaoQ,0.010084815,0.010194379,-0.008413521,0.040319876,-0.004195846,0.03302055,-0.002426248,0.029003856,-0.000740108,0.024617883
127,saccumulation_atPoint,RaoQ,-0.00746351,0.009072563,-0.035250695,0.009980251,-0.028316914,0.005467461,-0.024731183,0.003410157,-0.020603173,0.001513684
128,selevation_atPoint,RaoQ,-0.026281498,0.0154486,-0.065245475,0.003938286,-0.056489284,0.000283139,-0.051622955,-0.000903016,-0.04615758,-0.004419296
129,sslope_mean,RaoQ,-0.000296488,0.006925299,-0.022718543,0.02220212,-0.015594153,0.014429895,-0.01226266,0.011240578,-0.008554538,0.007668392
130,surban_meanPerc_upstr,RaoQ,-0.002298989,0.006520283,-0.024513641,0.015495489,-0.017988115,0.0094761,-0.014848844,0.00702496,-0.011019924,0.004311127
131,scrop_meanPerc_upstr,RaoQ,0.00058591,0.0081417,-0.025023507,0.02880097,-0.016977752,0.019188358,-0.012577575,0.014875684,-0.008072215,0.01015648
132,sdam_impact_score_lessthan100km,RaoQ,0.005323919,0.007413801,-0.010551727,0.028961807,-0.00587572,0.022913841,-0.003835093,0.01950422,-0.001852842,0.016094925
133,Intercept,FRed,5.43E-05,0.000279148,-0.000761713,0.000763458,-0.000501652,0.00057454,-0.000415029,0.000486782,-0.000311216,0.000394962
134,sppt_Est,FRed,1.81E-05,6.76E-05,-0.000168958,0.00024976,-0.000114041,0.000179064,-8.32E-05,0.000144265,-5.16E-05,0.000105809
135,stmax_Est,FRed,-1.27E-05,8.16E-05,-0.000307733,0.000226355,-0.000210658,0.000143825,-0.000163365,0.000103698,-0.000113549,6.79E-05
136,sppt_mm_12moPrior,FRed,-0.000549629,0.000141215,-0.000935736,-0.00018888,-0.000831032,-0.000282176,-0.000783662,-0.000325785,-0.000732807,-0.000372842
137,stmax_C_12moPrior,FRed,-9.84E-05,0.000127399,-0.000494138,0.000131926,-0.000417166,6.87E-05,-0.000365098,4.23E-05,-0.00028619,1.87E-05
138,sstrahler_streamOrder,FRed,-2.61E-05,5.37E-05,-0.000204555,0.000106778,-0.000151647,6.75E-05,-0.000129821,4.71E-05,-0.000100612,2.76E-05
139,saccumulation_atPoint,FRed,5.88E-06,4.62E-05,-0.000124953,0.000159733,-8.71E-05,0.000114266,-6.92E-05,9.16E-05,-4.59E-05,6.43E-05
140,selevation_atPoint,FRed,6.89E-05,9.00E-05,-0.000100315,0.000349459,-6.95E-05,0.0002772,-5.90E-05,0.000240068,-2.33E-05,0.000197495
141,sslope_mean,FRed,0.000205777,9.79E-05,-1.01E-05,0.0004501,6.94E-06,0.000394126,3.15E-05,0.000364999,7.56E-05,0.000330831
142,surban_meanPerc_upstr,FRed,-3.64E-06,4.18E-05,-0.000136755,0.000124664,-9.80E-05,8.25E-05,-7.84E-05,6.24E-05,-5.64E-05,4.34E-05
143,scrop_meanPerc_upstr,FRed,-4.37E-06,5.71E-05,-0.000173715,0.000177002,-0.000124073,0.000121066,-9.62E-05,9.17E-05,-7.63E-05,6.27E-05
144,sdam_impact_score_lessthan100km,FRed,-8.37E-05,6.50E-05,-0.000252104,4.48E-05,-0.000216064,1.73E-05,-0.000195097,6.79E-06,-0.000170433,-7.15E-07
145,Intercept,alien_SppRich,0.046821485,0.018073721,-0.004686324,0.09342426,0.010913556,0.082272576,0.017102215,0.076315317,0.024100665,0.06970707
146,sppt_Est,alien_SppRich,-0.002567916,0.004402231,-0.013619976,0.008232863,-0.011102279,0.005883493,-0.009929685,0.004649131,-0.00831053,0.003095577
147,stmax_Est,alien_SppRich,-0.004436446,0.003601022,-0.014187034,0.004677006,-0.011519739,0.002579986,-0.010291171,0.001539382,-0.009027021,0.000165064
148,sppt_mm_12moPrior,alien_SppRich,-0.008881589,0.009722043,-0.03403407,0.015552281,-0.02801071,0.009994593,-0.024767208,0.007213755,-0.021291632,0.003545684
149,stmax_C_12moPrior,alien_SppRich,0.032527502,0.015411704,-0.00420938,0.077912205,0.004275072,0.063968568,0.008251605,0.058378864,0.01315517,0.052232047
150,sstrahler_streamOrder,alien_SppRich,0.01840403,0.003703611,0.009225164,0.028245541,0.011151811,0.025783268,0.012268115,0.024601802,0.013727356,0.023151987
151,saccumulation_atPoint,alien_SppRich,0.009826715,0.002618435,0.003290043,0.016538906,0.004724298,0.015014531,0.005514886,0.01410328,0.006441147,0.013164483
152,selevation_atPoint,alien_SppRich,0.017471654,0.007833252,-0.001707377,0.041328229,0.002545893,0.032729987,0.004848463,0.030534386,0.007658868,0.02766075
153,sslope_mean,alien_SppRich,0.004371757,0.00586415,-0.010728864,0.019341501,-0.007073089,0.015773618,-0.00528671,0.013935419,-0.003136614,0.011883409
154,surban_meanPerc_upstr,alien_SppRich,0.008816966,0.003546233,-0.000459686,0.017927094,0.001775513,0.015724167,0.002967056,0.014591923,0.004280481,0.013350416
155,scrop_meanPerc_upstr,alien_SppRich,0.001503166,0.005684694,-0.013168563,0.015970806,-0.009544721,0.012674536,-0.007742506,0.010907463,-0.005707538,0.008840694
156,sdam_impact_score_lessthan100km,alien_SppRich,-0.003219582,0.003670954,-0.013305376,0.006276632,-0.010498588,0.00386267,-0.009193642,0.002769354,-0.007905269,0.001475723
157,Intercept,alien_abund,0.015031168,0.010382427,-0.013293185,0.04394008,-0.004906181,0.0361332,-0.001527155,0.032695128,0.002454244,0.028200464
158,sppt_Est,alien_abund,-0.00011661,0.000681563,-0.002564866,0.001945095,-0.001724501,0.001265356,-0.001385151,0.000922977,-0.000944516,0.000579156
159,stmax_Est,alien_abund,0.000167654,0.000896988,-0.002559467,0.003477714,-0.001570615,0.002373329,-0.001155015,0.001845475,-0.000707331,0.001253501
160,sppt_mm_12moPrior,alien_abund,-0.000591446,0.001278386,-0.005407133,0.002388415,-0.003966098,0.00139166,-0.003256873,0.000930222,-0.002365372,0.00049118
161,stmax_C_12moPrior,alien_abund,0.001684623,0.003205823,-0.003399019,0.014959128,-0.00172281,0.010963676,-0.001056252,0.008904815,-0.000518567,0.006222652
162,sstrahler_streamOrder,alien_abund,0.000311919,0.000675568,-0.001305413,0.002711043,-0.000810861,0.001982853,-0.000572998,0.00162293,-0.000333287,0.001234073
163,saccumulation_atPoint,alien_abund,0.001435871,0.000823893,-0.000209564,0.003509894,-3.02E-05,0.003011987,2.86E-05,0.002780203,0.000267354,0.002499084
164,selevation_atPoint,alien_abund,7.80E-05,0.001222491,-0.003858401,0.004618725,-0.002558911,0.003100296,-0.001796498,0.00223763,-0.001107431,0.001411809
165,sslope_mean,alien_abund,-0.001407356,0.001730423,-0.007074027,0.001563322,-0.005511355,0.000728856,-0.004821758,0.000428438,-0.004001066,0.000160452
166,surban_meanPerc_upstr,alien_abund,0.000804584,0.001022145,-0.001043077,0.004199271,-0.00056247,0.003318881,-0.00033445,0.002807256,-0.000132664,0.002286597
167,scrop_meanPerc_upstr,alien_abund,0.001060569,0.001250176,-0.001107406,0.005029563,-0.000569838,0.004082473,-0.000332517,0.003508886,-0.000122606,0.002875635
168,sdam_impact_score_lessthan100km,alien_abund,0.000546007,0.001218026,-0.002202056,0.005125871,-0.001272865,0.003842264,-0.000840483,0.003094953,-0.000471226,0.002206616
169,Intercept,native_SppRich,0.164408932,0.094796936,-0.097748924,0.442450728,-0.020397241,0.351612192,0.014007468,0.319598276,0.048291228,0.282916137
170,sppt_Est,native_SppRich,0.001028184,0.00830466,-0.02463517,0.02736889,-0.016154871,0.020190688,-0.012300308,0.015629462,-0.008236476,0.011175291
171,stmax_Est,native_SppRich,-5.17E-05,0.009121362,-0.029080597,0.029713959,-0.020187191,0.020012685,-0.015430162,0.015175189,-0.010833636,0.010471286
172,sppt_mm_12moPrior,native_SppRich,-0.030722374,0.022684969,-0.090653897,0.009125069,-0.075519585,0.003192514,-0.068919916,0.000979067,-0.061649869,-0.000652258
173,stmax_C_12moPrior,native_SppRich,0.003040008,0.016210059,-0.046288388,0.065098553,-0.02916663,0.043502062,-0.02061938,0.033221426,-0.012152831,0.022283719
174,sstrahler_streamOrder,native_SppRich,-0.008175766,0.007815833,-0.031224339,0.007986799,-0.024966797,0.003864828,-0.022210889,0.002072207,-0.018953521,0.000538041
175,saccumulation_atPoint,native_SppRich,-0.01310206,0.005893455,-0.027804855,0.000920418,-0.024617612,-0.001177274,-0.022622738,-0.002956415,-0.020586199,-0.005352665
176,selevation_atPoint,native_SppRich,0.003611025,0.01126609,-0.027494171,0.043478889,-0.016375633,0.031917897,-0.012065786,0.024568834,-0.007416998,0.018151587
177,sslope_mean,native_SppRich,0.039531643,0.016348542,-0.000764999,0.079548819,0.004164142,0.070130258,0.010488191,0.06576833,0.017686205,0.060169176
178,surban_meanPerc_upstr,native_SppRich,0.00057311,0.005382619,-0.015435,0.017033051,-0.010704684,0.01226277,-0.008396979,0.009905197,-0.005784407,0.007381901
179,scrop_meanPerc_upstr,native_SppRich,-0.028956372,0.016514449,-0.070300236,0.00479445,-0.06099571,0.000613811,-0.056061104,-0.001022664,-0.050339473,-0.005716762
180,sdam_impact_score_lessthan100km,native_SppRich,0.010960797,0.010434965,-0.008762426,0.040635462,-0.004268163,0.033600208,-0.002482814,0.030103044,-0.000647638,0.025617533
181,Intercept,native_abund,0.000686424,0.004141793,-0.010295789,0.012431262,-0.007385044,0.008921406,-0.006038414,0.007554076,-0.004483485,0.005903413
182,sppt_Est,native_abund,0.000555586,0.000891223,-0.001046448,0.003762833,-0.000575177,0.002823247,-0.000383083,0.002389081,-0.000186422,0.001883523
183,stmax_Est,native_abund,-0.0001606,0.000728648,-0.003011176,0.002021149,-0.002036289,0.001209579,-0.001569708,0.000832045,-0.001032591,0.00049085
184,sppt_mm_12moPrior,native_abund,-0.002332503,0.001929687,-0.007452824,0.000587,-0.006282375,0.000201102,-0.005651614,6.86E-05,-0.004973172,5.51E-07
185,stmax_C_12moPrior,native_abund,-0.001117546,0.001666808,-0.007143535,0.001322963,-0.00551836,0.00065815,-0.004566579,0.00039069,-0.003615007,0.000165726
186,sstrahler_streamOrder,native_abund,-0.000410087,0.000635107,-0.002583157,0.00079947,-0.002027226,0.000459892,-0.001701297,0.000289801,-0.001350059,0.00013947
187,saccumulation_atPoint,native_abund,-0.000359172,0.000569807,-0.002303135,0.000764722,-0.00179816,0.000427815,-0.001518134,0.000275999,-0.00119776,0.000141792
188,selevation_atPoint,native_abund,-3.07E-05,0.000693381,-0.002665488,0.002429747,-0.001646018,0.001466515,-0.001223106,0.00105691,-0.000775357,0.000659495
189,sslope_mean,native_abund,-0.000555347,0.00097758,-0.004327867,0.001324606,-0.003137931,0.000687193,-0.002594625,0.000454681,-0.001972172,0.000233355
190,surban_meanPerc_upstr,native_abund,0.000141573,0.000499735,-0.001265551,0.002038763,-0.000747025,0.001427941,-0.000522231,0.001105839,-0.000324693,0.000778915
191,scrop_meanPerc_upstr,native_abund,0.000193154,0.000637388,-0.001635041,0.002544298,-0.000943681,0.001860158,-0.000643567,0.001445501,-0.00037508,0.001004029
192,sdam_impact_score_lessthan100km,native_abund,5.63E-05,0.000551955,-0.001749881,0.002016492,-0.001116086,0.001383534,-0.00081562,0.001036312,-0.000509481,0.000679384
193,Intercept,EPT_SppRich,0.048425032,0.04747408,-0.083601923,0.175896918,-0.044401531,0.140605775,-0.029440324,0.125836143,-0.011037719,0.107874913
194,sppt_Est,EPT_SppRich,0.019396286,0.008431237,-0.001976675,0.041308479,0.003074826,0.036162467,0.005637132,0.033376768,0.008526344,0.030327091
195,stmax_Est,EPT_SppRich,-0.008873457,0.0090117,-0.032222298,0.014054678,-0.026427235,0.009170298,-0.023601414,0.006112515,-0.020315074,0.002599746
196,sppt_mm_12moPrior,EPT_SppRich,-0.018394096,0.014772049,-0.0565003,0.018857939,-0.04738709,0.010144333,-0.042968767,0.005660619,-0.037652629,0.000618677
197,stmax_C_12moPrior,EPT_SppRich,0.009418232,0.019462344,-0.039959213,0.059298667,-0.028802095,0.047507108,-0.022739744,0.041544841,-0.015456618,0.03441036
198,sstrahler_streamOrder,EPT_SppRich,0.006494367,0.008180032,-0.014091443,0.027292239,-0.009356551,0.0227632,-0.006768502,0.020059922,-0.003969821,0.01703476
199,saccumulation_atPoint,EPT_SppRich,-0.012614129,0.0075205,-0.032069211,0.006127034,-0.02724379,0.002141144,-0.025006725,-0.000374421,-0.02223218,-0.002947611
200,selevation_atPoint,EPT_SppRich,-0.020360087,0.012055912,-0.050308191,0.011297475,-0.043762112,0.00323827,-0.040383585,-0.000398732,-0.035762769,-0.004853507
201,sslope_mean,EPT_SppRich,0.006693269,0.00954041,-0.018335213,0.030964226,-0.01212731,0.025288411,-0.009068831,0.022076735,-0.005557981,0.018894197
202,surban_meanPerc_upstr,EPT_SppRich,-0.00554703,0.007614008,-0.025115986,0.01385061,-0.020304322,0.009307313,-0.017962122,0.007021098,-0.01531469,0.00419928
203,scrop_meanPerc_upstr,EPT_SppRich,-0.018798246,0.010263531,-0.045871092,0.007367698,-0.038814512,0.00145564,-0.03567975,-0.002006693,-0.0320128,-0.005674738
204,sdam_impact_score_lessthan100km,EPT_SppRich,-0.00453829,0.007130601,-0.023054745,0.013787964,-0.018585119,0.009386993,-0.016436456,0.007067878,-0.013588728,0.004468889
205,Intercept,EPT_abund,0.01086664,0.005883348,-0.004888012,0.027402192,-0.00071703,0.022629343,0.001296472,0.020409475,0.003525257,0.018192753
206,sppt_Est,EPT_abund,0.000810021,0.001494576,-0.00303092,0.00459041,-0.002115195,0.003766262,-0.001637248,0.003272019,-0.00113696,0.002729464
207,stmax_Est,EPT_abund,-0.001368356,0.001556279,-0.005471383,0.00250077,-0.004424504,0.001650916,-0.003944725,0.001175503,-0.003382342,0.000636664
208,sppt_mm_12moPrior,EPT_abund,-0.000937636,0.002457795,-0.007186209,0.005497133,-0.005729431,0.003851829,-0.004935505,0.003143676,-0.004062382,0.002219745
209,stmax_C_12moPrior,EPT_abund,0.005496339,0.003019277,-0.002159619,0.013354865,-0.000347881,0.011457892,0.000578249,0.010548819,0.001665011,0.009395721
210,sstrahler_streamOrder,EPT_abund,-0.000385026,0.001433251,-0.00396377,0.00324862,-0.003185146,0.002442774,-0.00275626,0.001996424,-0.002212183,0.001447632
211,saccumulation_atPoint,EPT_abund,-0.000842408,0.001341682,-0.004412851,0.002637428,-0.003536617,0.001796977,-0.003045188,0.001362025,-0.002554579,0.000849744
212,selevation_atPoint,EPT_abund,0.000617891,0.001995353,-0.004483815,0.005797474,-0.003354596,0.004547003,-0.002693212,0.00389814,-0.001970001,0.003132501
213,sslope_mean,EPT_abund,0.000292252,0.001671914,-0.0040048,0.004534208,-0.002958941,0.003544586,-0.002479834,0.003020904,-0.0018583,0.002413609
214,surban_meanPerc_upstr,EPT_abund,0.001180482,0.001331455,-0.002211847,0.004601817,-0.001464308,0.003767329,-0.001022826,0.003351143,-0.000542749,0.002903442
215,scrop_meanPerc_upstr,EPT_abund,-0.002368999,0.001826881,-0.006912478,0.002353521,-0.005931966,0.001213205,-0.005373342,0.000648349,-0.004740627,-5.50E-05
216,sdam_impact_score_lessthan100km,EPT_abund,-0.002129723,0.001262607,-0.005297324,0.001130417,-0.004583266,0.000345788,-0.00418517,-5.35E-05,-0.003750935,-0.000521024
217,Intercept,insect_SppRich,0.141674361,0.062796813,-0.024536198,0.31037499,0.020229524,0.267131944,0.040006596,0.246647107,0.063661213,0.222355588
218,sppt_Est,insect_SppRich,-0.007479367,0.007849814,-0.030308383,0.008525174,-0.02476022,0.004475548,-0.021776401,0.002691533,-0.018432153,0.001028663
219,stmax_Est,insect_SppRich,-0.018369344,0.010382578,-0.044366739,0.003670399,-0.03858099,0.000392891,-0.035509203,-0.000943419,-0.031842484,-0.004087406
220,sppt_mm_12moPrior,insect_SppRich,0.005158357,0.009409066,-0.017220813,0.036096025,-0.010933617,0.027224543,-0.007778604,0.022821303,-0.004388818,0.017963312
221,stmax_C_12moPrior,insect_SppRich,0.044192234,0.016623323,0.000805481,0.086111802,0.009686224,0.075972095,0.015738185,0.071043961,0.022791625,0.064997979
222,sstrahler_streamOrder,insect_SppRich,-0.002474235,0.003517618,-0.012829975,0.005806911,-0.010276293,0.003568505,-0.008997614,0.002518388,-0.007312973,0.001393786
223,saccumulation_atPoint,insect_SppRich,-0.001809677,0.002464052,-0.008850667,0.004170053,-0.007131736,0.00257116,-0.006243319,0.001750665,-0.005178042,0.000904449
224,selevation_atPoint,insect_SppRich,-0.002271955,0.007411602,-0.025671379,0.019093321,-0.019322605,0.011763134,-0.016013012,0.008959706,-0.012145345,0.005568115
225,sslope_mean,insect_SppRich,-0.01126522,0.006246561,-0.027377807,0.002166821,-0.023685603,0.000139454,-0.021794383,-0.000835845,-0.019373542,-0.002856308
226,surban_meanPerc_upstr,insect_SppRich,-0.008367483,0.003986669,-0.01843018,0.000884332,-0.016098931,-0.000409767,-0.014849009,-0.00156227,-0.013464381,-0.003133659
227,scrop_meanPerc_upstr,insect_SppRich,-0.041616635,0.008791679,-0.064435299,-0.018911415,-0.058933351,-0.024769354,-0.056171825,-0.027366978,-0.052907361,-0.030262293
228,sdam_impact_score_lessthan100km,insect_SppRich,-0.023391114,0.004051056,-0.034035276,-0.012587744,-0.031251584,-0.015347976,-0.03002957,-0.016727901,-0.0285479,-0.018258862
229,Intercept,insect_abund,0.006711457,0.004501667,-0.005137542,0.018858208,-0.002079415,0.015719113,-0.000689224,0.014192596,0.001066663,0.012439513
230,sppt_Est,insect_abund,-0.000501514,0.000853249,-0.003469304,0.001396419,-0.002627605,0.000789711,-0.002176998,0.000518927,-0.001717387,0.000282585
231,stmax_Est,insect_abund,-0.007253632,0.001541782,-0.011136598,-0.003102678,-0.010269736,-0.004236852,-0.009750343,-0.004737243,-0.009221217,-0.005269471
232,sppt_mm_12moPrior,insect_abund,-0.001214844,0.001282996,-0.005136935,0.000986173,-0.004217662,0.000476984,-0.003671119,0.00026956,-0.003069794,7.43E-05
233,stmax_C_12moPrior,insect_abund,0.001123008,0.001431664,-0.001375919,0.006073253,-0.000670612,0.004620559,-0.000404323,0.003991333,-0.000173955,0.003216007
234,sstrahler_streamOrder,insect_abund,0.00101638,0.000868751,-0.000588719,0.003481821,-0.000233208,0.002890541,-0.000104082,0.002568868,-3.96E-06,0.002214763
235,saccumulation_atPoint,insect_abund,-0.000172185,0.000702227,-0.002662275,0.001776043,-0.001909282,0.00117035,-0.001506997,0.000874236,-0.001059928,0.000534425
236,selevation_atPoint,insect_abund,8.20E-05,0.000689314,-0.001955539,0.00261274,-0.001301169,0.001727407,-0.000986194,0.001337996,-0.000667536,0.000905601
237,sslope_mean,insect_abund,0.000185668,0.000611212,-0.001503398,0.002265119,-0.000923582,0.001662128,-0.000686213,0.001349842,-0.000434608,0.000989652
238,surban_meanPerc_upstr,insect_abund,0.000236853,0.000527933,-0.001086794,0.001968911,-0.000680949,0.001499442,-0.000481309,0.00125585,-0.000300819,0.000964677
239,scrop_meanPerc_upstr,insect_abund,0.000384552,0.000737166,-0.001337017,0.002841323,-0.000809302,0.00222633,-0.000565695,0.001816912,-0.000336501,0.001421805
240,sdam_impact_score_lessthan100km,insect_abund,-0.00082582,0.000786172,-0.003124742,0.000638032,-0.002538564,0.0002822,-0.002264695,0.000144882,-0.001931779,3.33E-05
