"","site_id","year"
"2",100000002,15
"42",100000043,15
"46",100000047,15
"58",100000059,16
"59",100000060,15
"144",100000148,15
"166",100000170,15
"167",100000171,15
"190",100000194,16
"191",100000195,15
"192",100000196,15
"208",100000212,15
"210",100000214,15
"258",100000262,15
"302",100000308,19
"303",100000309,19
"304",100000310,19
"305",100000311,19
"306",100000312,18
"307",100000313,17
"358",103000516,17
"361",103000519,19
"364",103000522,19
"365",103000523,19
"367",103000525,19
"368",103000526,18
"372",103000530,18
"374",103000532,18
"375",103000533,17
"380",103000538,19
"383",103000541,19
"386",103000544,19
"387",103000545,17
"389",103000547,19
"390",103000548,19
"391",103000549,19
"392",103000550,19
"393",103000551,19
"395",103000553,19
"396",103000554,16
"397",103000555,19
"398",103000556,18
"400",103000558,18
"401",103000559,16
"402",103000560,17
"404",103000562,19
"405",103000563,19
"411",103000569,19
"412",103000570,19
"415",103000573,17
"416",103000574,19
"417",103000575,16
"419",103000577,17
"420",103000578,19
"422",103000580,19
"424",103000582,19
"425",103000583,19
"430",103000588,19
"438",103000596,15
"439",103000597,19
"442",103000600,16
"447",103000605,16
"451",103000609,17
"452",103000610,17
"453",103000611,19
"454",103000612,16
"455",103000613,19
"456",103000614,15
"457",103000615,19
"461",103000619,16
"463",103000621,16
"464",103000622,17
"468",103000626,19
"469",103000627,17
"470",103000628,19
"477",103000635,19
"479",103000637,18
"480",103000638,18
"481",103000640,18
"482",103000641,18
"483",103000642,18
"484",103000643,18
"485",103000644,18
"486",103000645,17
"487",103000646,18
"488",103000647,18
"489",103000648,18
"490",103000649,18
"491",103000650,18
"492",103000651,18
"493",103000652,15
"495",103000654,18
"496",103000655,18
"498",103000657,18
"499",103000658,18
"500",103000659,18
"501",103000660,18
"502",103000661,18
"503",103000662,18
"504",103000663,18
"506",103000665,18
"507",103000666,18
"508",103000667,16
"509",103000668,18
"510",103000669,18
"511",103000670,18
"512",103000671,17
"513",103000672,18
"514",103000673,18
"515",103000674,18
"516",103000675,18
"517",103000676,18
"518",103000677,18
"519",103000678,18
"520",103000679,18
"521",103000680,18
"523",103000682,18
"524",103000683,15
"525",103000684,18
"526",103000685,18
"527",103000686,18
"528",103000687,18
"529",103000688,17
"531",103000690,18
"532",103000691,17
"533",103000692,17
"534",103000693,18
"535",103000694,18
"536",103000695,17
"537",103000696,18
"538",103000697,18
"539",103000698,18
"540",103000699,18
"541",103000700,18
"542",103000701,18
"543",103000702,18
"544",103000703,18
"545",103000704,18
"546",103000705,18
"547",103000706,18
"548",103000707,18
"549",103000708,18
"550",103000709,17
"551",103000710,18
"565",104000001,18
"566",104000002,16
"569",104000005,19
"575",104000011,16
"595",104000031,18
"602",104000038,15
"603",104000043,15
"606",104000056,15
"614",104000073,15
"615",104000074,15
"617",104000084,15
"618",104000086,15
"620",104000090,15
"621",104000092,18
"622",104000094,18
"623",104000095,19
"625",104000100,19
"626",104000101,15
"630",104000110,15
"632",104000118,19
"635",104000124,19
"640",104000141,15
"641",104000142,15
"645",104000148,15
"649",104000156,18
"651",104000162,19
"654",104000166,19
"684",107000001,18
"685",107000002,18
"686",107000003,19
"687",107000004,18
"688",107000005,16
"689",107000006,18
"690",107000007,18
"691",107000008,18
"692",107000009,18
"693",107000010,18
"694",107000011,19
"695",107000012,18
"696",107000013,18
"697",107000014,18
"698",107000015,19
"699",107000016,18
"700",107000017,18
"701",107000018,16
"702",107000019,16
"703",107000020,17
"704",107000021,18
"705",107000022,18
"706",107000023,19
"707",107000024,16
"708",107000025,18
"709",107000026,17
"710",107000027,18
"711",107000028,17
"712",107000029,16
"713",107000030,16
"714",107000031,16
"715",107000032,18
"716",107000033,18
"717",107000034,17
"718",107000035,18
"719",107000036,19
"721",107000038,17
"722",107000039,17
"723",107000040,19
"724",107000041,19
"725",107000042,17
"726",107000043,17
"727",107000044,16
"728",107000045,16
"729",107000046,19
"730",107000047,17
"731",107000048,17
"732",107000049,17
"733",107000050,17
"734",107000051,18
"735",107000052,18
"736",107000053,19
"737",107000054,17
"738",107000055,18
"739",107000056,18
"740",107000057,15
"741",107000058,18
"742",107000059,18
"743",107000060,18
"744",107000061,18
"745",107000062,17
"746",107000063,17
"747",107000064,18
"748",107000065,19
"749",107000066,18
"750",107000067,17
"751",107000068,16
"752",107000069,17
"753",107000070,19
"754",107000071,17
"755",107000072,17
"756",107000073,18
"757",107000074,18
"758",107000075,19
"759",107000076,18
"760",107000077,18
"761",107000078,17
"762",107000079,17
"763",107000080,19
"764",107000081,18
"765",107000082,17
"766",107000083,18
"767",107000084,18
"768",107000085,17
"769",107000086,18
"770",107000087,17
"771",107000088,17
"773",107000090,18
"774",107000091,19
"775",107000092,17
"776",107000093,16
"777",107000094,18
"778",107000095,18
"779",107000096,18
"780",107000097,15
"781",107000098,18
"782",107000099,19
"783",107000100,17
"784",107000101,18
"785",107000102,17
"786",107000103,18
"787",107000104,15
"788",107000105,17
"789",107000106,17
"790",107000107,18
"791",107000108,15
"792",107000109,17
"793",107000110,18
"794",107000111,17
"795",107000112,15
"796",107000113,18
"797",107000114,18
"798",107000115,18
"799",107000116,15
"800",107000117,17
"801",107000118,18
"802",107000119,18
"803",107000120,17
"804",107000121,17
"805",107000122,17
"806",107000123,18
"807",107000124,18
"808",107000125,17
"809",107000126,18
"810",107000127,18
"811",107000128,18
"812",107000129,19
"814",107000131,18
"815",107000132,15
"816",107000133,19
"817",107000134,17
"818",107000135,18
"819",107000136,16
"820",107000137,18
"821",107000138,19
"822",107000139,16
"823",107000140,17
"824",107000141,19
"825",107000142,19
"827",107000144,16
"828",107000145,17
"829",107000146,17
"830",107000147,19
"831",107000148,15
"832",107000149,17
"833",107000150,17
"834",107000151,17
"835",107000152,18
"836",107000153,17
"837",107000154,17
"838",107000155,17
"839",107000156,17
"840",107000157,17
"841",107000158,17
"842",107000159,17
"844",107000161,17
"845",107000162,17
"846",107000163,17
"847",107000164,17
"848",107000165,17
"849",107000166,17
"850",107000167,17
"851",107000168,16
"852",107000169,17
"853",107000170,18
"854",107000171,16
"855",107000172,16
"856",107000173,17
"857",107000174,17
"858",107000175,17
"859",107000176,17
"860",107000177,17
"861",107000178,16
"863",107000180,17
"864",107000181,17
"865",107000182,17
"866",107000183,16
"867",107000184,15
"868",107000185,16
"869",107000186,16
"870",107000187,16
"871",107000188,16
"872",107000189,16
"873",107000190,15
"874",107000191,16
"876",107000193,15
"877",107000194,16
"878",107000195,15
"879",107000196,15
"880",107000197,19
"881",107000198,18
"882",107000199,19
"883",107000200,16
"884",107000201,18
"885",107000202,18
"886",107000203,17
"887",107000204,17
"888",107000205,18
"889",107000206,17
"890",107000207,17
"891",107000208,18
"892",107000209,18
"893",107000210,18
"894",107000211,17
"895",107000212,18
"896",107000213,18
"897",107000214,19
"898",107000215,16
"899",107000216,17
"900",107000217,17
"901",107000218,17
"902",107000219,17
"903",107000220,18
"904",107000221,18
"905",107000222,18
"906",107000223,18
"907",107000224,17
"909",107000226,18
"910",107000227,17
"912",107000229,18
"913",107000230,18
"914",107000231,18
"915",107000232,18
"916",107000233,17
"917",107000234,15
"921",107000238,15
"922",107000239,17
"924",107000241,17
"925",107000242,18
"926",107000243,18
"927",107000244,18
"928",107000245,17
"929",107000246,18
"930",107000247,18
"931",107000248,18
"1071",109000016,15
"1079",109000032,15
"1084",109000037,15
"1085",109000038,15
"1086",109000039,19
"1087",109000040,19
"1129",109000083,15
"1130",109000084,16
"1131",109000085,19
"1133",109000087,16
"1134",109000088,16
"1138",109000092,16
"1145",109000099,15
"1148",109000102,16
"1149",109000103,18
"1154",109000108,18
"1156",109000110,15
"1164",109000118,17
"1166",109000120,17
"1168",109000122,18
"1190",109000144,16
"1192",109000146,15
"1193",109000147,17
"1198",109000152,18
"1199",109000153,16
"1205",109000159,18
"1223",109000177,15
"1230",109000184,15
"1232",109000186,16
"1237",109000191,18
"1238",109000192,15
"1244",109000200,16
"1258",109000214,15
"1260",109000216,18
"1264",109000220,16
"1268",109000224,15
"1269",109000225,15
"1272",109000228,15
"1274",109000230,16
"1277",109000233,15
"1281",109000237,16
"1293",109000250,15
"1301",109000258,17
"1303",109000260,16
"1304",109000261,15
"1305",109000262,15
"1306",109000263,15
"1330",109000287,17
"1385",109000342,18
"1390",109000347,15
"1392",109000349,19
"1408",109000365,15
"1409",109000366,16
"1420",109000380,18
"1422",109000382,15
"1424",109000384,18
"1428",109000389,17
"1429",109000390,16
"1430",109000392,16
"1431",109000393,16
"1432",109000394,16
"1434",109000396,16
"1462",110000001,16
"1463",110000002,16
"1464",110000003,16
"1465",110000004,16
"1466",110000005,16
"1467",110000006,16
"1468",110000007,16
"1469",110000008,16
"1470",110000009,16
"1471",110000010,16
"1472",110000011,16
"1473",110000012,16
"1474",110000013,16
"1475",110000014,16
"1476",110000015,16
"1477",110000016,16
"1481",111000004,15
"1482",111000005,16
"1483",111000006,16
"1484",111000007,16
"1486",111000009,16
"1487",111000010,16
"1488",111000011,16
"1490",111000013,16
"1491",111000014,16
"1492",111000015,16
"1638",115000001,19
"1639",115000002,19
"1644",117000003,15
"1658",117000017,16
"1659",117000018,15
"1660",117000019,17
"1669",117000029,16
"1679",117000039,15
"1694",119000001,15
"1695",119000002,15
"1696",119000003,15
"1697",119000004,15
"1698",119000005,15
"1699",119000006,15
"1700",119000007,15
"1701",119000008,15
"1702",119000009,15
"1703",119000010,15
"1704",120000001,15
"1705",120000002,16
"1706",120000003,15
